id,action_id,state,action_text,result_text,result_type,result_id,result_amount,stamina_cost,require_item_id,require_action
701000001,1,0,격리 프로토콜을 요청한다.,<color=#A8D4E0>프로토콜 기각: 대상 부재</color>\n해당 절차는 아직 불필요합니다.\n현 시점 <color=#FF7E9A>학생인 척하는 괴이</color>는 존재하지 않습니다.,0,0,0,0,0,
701000002,1,0,배구공을 챙긴다.,"표면 질감이 합성 가죽이 아닌, 생체 조직과 유사한 탄성을 띱니다.\n가죽 틈새에 억지로 끼워져 있던 <color=#A8D4E0>쪽지</color>를 발견하여, 기록 보관을 위해 회수합니다.",1,1,0,5,0,
701000002,2,0,바구니를 발로 찬다.,"외부 물리력을 가하자 금속성이 아닌, 둔탁한 파열음이 발생했습니다.\n충격으로 인해 프레임 사이에 끼어있던 <color=#A8D4E0>잔류 물품</color>이 바닥으로 낙하하여 수거했습니다.",1,2,0,5,0,
701000002,3,0,안쪽 깊숙이 손을 넣는다,적재된 공들 사이를 더듬어봅니다.\n바닥에 떨어져 있던 <color=#A8D4E0>소모품</color>을 발견하여 회수합니다.,1,2,0,5,0,
701000002,4,0,바구니 전체를 뒤집는다.,"보관함을 전복시키자, 수십 개의 구체가 살아있는 듯 제각기 다른 방향으로 굴러갑니다.\n쏟아진 내용물 사이에서 이질적인 재질의 <color=#A8D4E0>비식별 물체</color>를 식별하여 회수합니다.",1,2,0,5,0,
701000002,5,0,바퀴를 살펴본다.,"구동축에 엉켜있는 다량의 머리카락과 섬유 조직을 제거했습니다.\n윤활유 대신 검은 액체가 도포되어 있으며, 틈새에 끼어있던 <color=#A8D4E0>열쇠</color>를 발견했습니다.",1,3,0,5,0,
701000003,1,0,그물에 매달린다,그물망에 매달려봅니다.\n평범한 나일론 재질의 그물입니다.\n특이 사항은 없습니다.,0,0,0,5,0,
701000003,2,0,기둥을 흔든다,구조물의 강성이 재질의 한계를 초과하여 전혀 미동하지 않습니다.\n진동의 반작용으로 상단에 위태롭게 걸려있던 <color=#A8D4E0>자원</color>이 낙하하여 수거했습니다.,1,2,0,5,0,
701000003,3,0,백보드 뒤를 더듬어본다,시야가 닿지 않는 후면 공간에서 끈적한 점액질이 묻어납니다.\n불쾌한 촉감을 견디며 접착되어 있던 <color=#A8D4E0>숨겨진 물자</color>를 떼어내 회수합니다.,1,2,0,5,0,
701000003,4,0,골대 밑을 관찰한다,골대 아래를 살펴봅니다.\n바닥에 쌓인 먼지만 보일 뿐 특이 사항은 없습니다.,0,0,0,5,0,
701000003,5,0,점프해서 림을 잡는다,유격에 끼어있는 <color=#A8D4E0>오염된 지류</color>를 적출했습니다.\n현장 인원이 급조한 비공식 행동 수칙으로 판명되어 회수합니다.,1,1,0,5,0,
701000004,1,0,턱걸이를 한다,"녹슨 철봉에서 삐그덕거리는 마찰음이 발생합니다.\n운동 기구로서의 기능은 상실했으나, 특이 사항은 없습니다.",0,0,0,5,0,
701000004,2,0,기둥을 발로 찬다,기둥을 차자 둔탁한 진동음이 울립니다.\n특이 사항은 발견되지 않습니다.,0,0,0,5,0,
701000004,3,0,기둥 뒤쪽을 더듬는다,부식된 철면 뒤쪽의 사각지대에서 인위적으로 은닉된 공간을 찾았습니다.\n틈새에 끼워져 있던 <color=#A8D4E0>유용한 자원</color>을 조심스럽게 적출합니다.,1,2,0,5,0,
701000004,4,0,철봉 냄새를 맡는다,"오래된 쇠 냄새와 먼지 냄새가 섞여 납니다.\n혈향이 나는 듯했으나, 착각이었던 것 같습니다.",0,0,0,5,0,
701000004,5,0,매달려서 버틴다,"녹슨 표면이 거칠어 손바닥이 아프지만, 평범한 철봉입니다.\n팔에 피로가 누적되어 내려옵니다.",0,0,0,5,0,
701000005,1,0,손으로 잡는다,차가운 금속의 감촉이 느껴집니다.\n발치에 누군가 떨어뜨린 <color=#A8D4E0>물건</color>을 습득합니다.,1,2,0,5,0,
701000005,2,0,귀를 대고 소리를 듣는다,금속 표면에 귀를 대봅니다.\n녹슨 쇠 특유의 차가운 감촉만 느껴질 뿐 별다른 소리는 없습니다.,0,0,0,5,0,
701000005,3,0,조심스럽게 두드린다,가벼운 타격에 구조물이 맑은 공명음을 냅니다.\n진동으로 인해 흙 속에 묻혀있던 <color=#A8D4E0>잔류물</color>이 지표면으로 떠올라 회수합니다.,1,2,0,5,0,
701000005,4,0,멀리서 관찰한다,안전 거리를 확보한 상태에서 구조물 주변을 정밀 스캔합니다.\n진동 반경 바깥에 안전하게 놓여있던 <color=#A8D4E0>소모품</color>을 식별하여 회수합니다.,1,2,0,5,0,
701000005,5,0,소리를 지른다,고함 소리가 체육관 내부에 메아리칩니다.\n별다른 반응은 없으나 스트레스가 조금 해소되는 기분입니다.,0,0,0,5,0,
701000006,1,0,카세트테이프를 넣는다,데크가 굶주린 듯 테이프를 거칠게 삼킵니다.\n스피커에서 지직거리는 잡음과 함께 기계적인 안내 방송이 송출됩니다.\n<i><color=#A8D4E0>...교내에 있는 학생들께 안내 말씀 드립니다.</i>,0,0,0,0,601000003,
701000006,2,0,주파수를 제어한다,당신에게는 허용되지 않습니다.,2,0,10,0,0,
701000007,1,0,A의 학생증을 읊는다,연결된 마이크를 통해 학생증의 인적 사항을 낭독합니다.\n기계 장치를 뒤덮은 핏줄 같은 전선들이 일제히 맥동합니다.\n<i><color=#A8D4E0>대상 식별이 완료되어 A의 존재를 시스템에 등록합니다.</color></i>,0,0,0,0,601000006,701000006_1
701000010,1,0,손거울을 본다,금이 간 거울에 비친 얼굴이 왜곡되어 보입니다.\n약간 불쾌하지만 평범한 손거울입니다.,0,0,0,5,0,
701000010,2,0,스마트폰을 켠다,배터리가 방전되어 화면이 켜지지 않습니다.,0,0,0,5,0,
701000010,3,0,쪽지를 펼쳐본다,수업 중 주고받은 잡담이 적힌 평범한 쪽지입니다.\n대수롭지 않게 넘깁니다.,0,0,0,5,0,
701000010,4,0,상자를 뒤집는다,내용물을 바닥에 쏟아붓자 전자음이 멈춥니다.\n잡동사니 사이에서 쓸만한 <color=#A8D4E0>자원</color>을 선별하여 챙깁니다.,1,2,0,5,0,
701000010,5,0,무시하고 지나간다,압수물 보관함을 무시하고 지나갑니다.,0,0,0,0,0,
701000011,1,0,초반부 내용을 읽는다,<i><color=#A8D4E0>제 1회 교무 회의: 학생 생활 지도 방안</color></i>\n정돈된 필체로 작성된 평범한 회의록입니다.\n특이 사항은 없습니다.,0,0,0,5,0,
701000011,2,0,후반부 내용을 읽는다,<color=#FF7E9A>목표 달성 완료. 전원 폐쇄.</color>\n<color=#FF7E9A>목표 달성 완료. 전원 폐쇄.</color>\n<color=#FF7E9A>목표 달성 완료. 전원 폐쇄.</color>\n\n이하 반복.,0,0,0,5,0,
701000011,3,0,곤충 사체를 건드린다,건조된 곤충 사체를 건드려봅니다.\n바스락거리며 부서질 뿐 특이 사항은 없습니다.,0,0,0,5,0,
701000011,4,0,참석자 서명을 확인한다,서명란이 붉은 지장으로 도배되어 있습니다.\n인주 냄새 대신 비릿한 혈향이 미세하게 감지됩니다.,0,0,0,5,0,
701000011,5,0,페이지를 찢어 챙긴다,이미 오랜 시간 전에 불에 탄 것 같은 상태이나 내용만은 식별 가능합니다.\n비공식 행동 수칙으로 판명되어 증거물로 회수합니다.,1,1,0,5,0,
701000022,1,0,토너 투입구를 연다,투입구를 열자 검은 토너 가루가 약간 쏟아집니다.\n옷에 묻어 지저분해졌습니다.,0,0,0,5,0,
701000022,2,0,인쇄 버튼을 누른다,요란한 기계음과 함께 용지가 출력됩니다.\n아무것도 출력되지 않습니다.,0,0,0,5,0,
701000022,3,0,용지함을 확인한다,이면지들이 가득 차 있습니다.\n뒷면에는 알 수 없는 공식들이 빼곡합니다.\n행동 수칙으로 판명되는 <color=#A8D4E0>용지</color> 한 장을 회수합니다.,1,1,0,5,0,
701000022,4,0,스캔 덮개를 연다,유리판 위에 누군가의 머리카락이 한 뭉치 놓여있습니다.\n기계 틈새에 끼어있던 <color=#A8D4E0>소모품</color>을 발견합니다.,1,1,0,5,0,
701000022,5,0,전원 코드를 뽑는다,코드를 뽑았음에도 기계의 구동음은 멈추지 않습니다.,0,0,0,5,0,
701000023,1,0,모니터를 켠다,"전원 버튼을 눌렀으나 반응이 없습니다.\n검은 화면 속에 비친 얼굴 뒤로 누군가 서 있는 것 같았으나,\n뒷편에는 아무도 없습니다.",0,0,0,5,0,
701000023,2,0,서류 더미를 뒤진다,학급 출석부와 성적표가 정리되어 있습니다.\n가지런히 놓인 서류들 사이에서 <color=#A8D4E0>소모품</color>을 발견하여 회수합니다.,1,2,0,5,0,
701000023,3,0,서랍을 연다,안쪽 깊은 곳에서 <color=#A8D4E0>A의 학생증</color>을 발견합니다.,1,7,0,5,0,
701000023,4,0,명패를 확인한다,"명패는 온전하게 보존되어 있으나,\n낯선 이름입니다.",0,0,0,5,0,
701000023,5,0,책상 밑을 살펴본다,책상 아래에 사무용 슬리퍼가 놓여있습니다.\n누군가 방금 벗어둔 것처럼 온기가 남아있습니다..,0,0,0,5,0,
701000024,1,0,도형을 손으로 훑는다,날카로운 컴퍼스 자국에 손끝이 베였습니다.\n<color=#FF7E9A>체력</color>이 저하됩니다.,3,0,10,5,0,
701000024,2,0,서랍을 연다,제도용 컴퍼스와 각도기 등이 어지럽게 널려있습니다.\n날카로운 도구들 사이에서 <color=#A8D4E0>소모품</color>을 회수합니다.,1,2,0,5,0,
701000024,3,0,수학 교과서를 본다,모든 숫자가 빨간색 펜으로 지워져 있습니다.,0,0,0,5,0,
