item_id,skin_name,max_durability,buff_list
101000001,hair/skin01_hair,100,[]
101000002,hair/skin02_hair,100,[]
101000003,hair/skin03_hair,100,[]
101000004,hair/skin04_hair,100,[]
101000005,hair/skin05_hair,100,[]
101000006,hair/skin06_hair,100,[]
101000007,hair/skin07_hair,100,[]
101000008,hair/skin08_hair,100,[]
101000009,hair/skin09_hair,100,[]
101000010,hair/skin10_hair,100,[]
101000011,hair/skin11_hair,100,[]
101000012,hair/skin12_hair,100,[]
102000001,face/skin01_face,100,[]
102000002,face/skin02_face,100,[]
102000003,face/skin03_face,100,[]
102000004,face/skin04_face,100,[]
102000005,face/skin05_face,100,[]
102000006,face/skin06_face,100,[]
102000007,face/skin07_face,100,[]
102000008,face/skin08_face,100,[]
102000009,face/skin09_face,100,[]
102000010,face/skin10_face,100,[]
102000011,face/skin11_face,100,[]
102000012,face/skin12_face,100,[]
103000001,hat/skin01_hat,100,[]
103000002,hat/skin02_hat,100,[]
103000003,hat/skin03_glasses,100,[]
103000004,hat/skin04_hat,100,[]
103000005,hat/skin05_hat,100,[]
103000006,hat/skin06_hat,100,[]
104000001,cloth_up/skin01_cloth_up,100,[]
104000002,cloth_up/skin02_cloth_up,100,[]
104000003,cloth_up/skin03_cloth_up,100,[]
104000004,cloth_up/skin04_cloth_up,100,[]
104000005,cloth_up/skin05_cloth_up,100,[]
104000006,cloth_up/skin06_cloth_up,100,[]
104000007,cloth_up/skin07_cloth_up,100,[]
104000008,cloth_up/skin08_cloth_up,100,[]
104000009,cloth_up/skin09_cloth_up,100,[]
104000010,cloth_up/skin10_cloth_up,100,[]
104000011,cloth_up/skin11_cloth_up,100,[]
104000012,cloth_up/skin12_cloth_up,100,[]
104000013,cloth_up/skin13_cloth_up,100,[]
104000014,cloth_up/skin14_cloth_up,100,[]
104000015,cloth_up/skin15_cloth_up,100,[]
104000016,cloth_up/skin16_cloth_up,100,[]
104000017,cloth_up/skin17_cloth_up,100,[]
104000018,cloth_up/skin18_cloth_up,100,[]
105000001,cloth_down/skin01_cloth_down,100,[]
105000002,cloth_down/skin02_cloth_down,100,[]
105000003,cloth_down/skin03_cloth_down,100,[]
105000004,cloth_down/skin04_cloth_down,100,[]
105000005,cloth_down/skin05_cloth_down,100,[]
105000006,cloth_down/skin06_cloth_down,100,[]
105000007,cloth_down/skin07_cloth_down,100,[]
105000008,cloth_down/skin08_cloth_down,100,[]
105000009,cloth_down/skin09_cloth_down,100,[]
105000010,cloth_down/skin10_cloth_down,100,[]
105000011,cloth_down/skin11_cloth_down,100,[]
105000012,cloth_down/skin12_cloth_down,100,[]
105000013,cloth_down/skin13_cloth_down,100,[]
105000018,cloth_down/skin18_cloth_down,100,[]
106000001,shoe/skin01_shoe,100,[]
106000002,shoe/skin02_shoe,100,[]
106000003,shoe/skin03_shoe,100,[]
106000004,shoe/skin04_shoe,100,[]
106000005,shoe/skin05_shoe,100,[]
106000006,shoe/skin06_shoe,100,[]
106000007,shoe/skin07_shoe,100,[]
106000008,shoe/skin08_shoe,100,[]
106000009,shoe/skin09_shoe,100,[]
106000010,shoe/skin10_shoe,100,[]
106000011,shoe/skin11_shoe,100,[]
106000012,shoe/skin12_shoe,100,[]
106000013,shoe/skin13_shoe,100,[]
107000003,tool/107000003,100,[]
107000004,tool/107000004,100,[]
107000006,tool/107000006,100,[]
107000010,tool/107000010,100,[]
107000011,tool/107000011,100,[]
107000012,tool/107000012,100,[]
107000020,tool/107000020,100,[]
107000021,tool/107000021,100,[]
107000022,tool/107000022,100,[]
107000030,tool/107000030,100,[]
107000031,tool/107000031,100,[]
107000032,tool/107000032,100,[]
